Publisher,Time,Author,Title,ID
Andrews McMeel Publishing,7/25/17,r.h. Sin,A Beautiful Composition of Broken,292
CreateSpace Independent Publishing Platform,1/22/18,Allie Michelle,Explorations of a Cosmic Soul,293
Button Poetry,8/22/17,Sabrina Benaim,Depression & Other Magic Tricks,294
Atria / 37 INK; Reprint edition,12/16/07,Issa Rae,The Misadventures of Awkward Black Girl,295
G.P. Putnam's Sons,8/14/18,Janet Evanovich,The Mark (Fox and O'Hare),296
Atria Books,7/17/18,Colleen Hoover,All Your Perfects: A Novel,297
DAW; Reissue edition,02/13/04,Patrick Rothfuss,The Wise Man's Fear (Kingkiller Chronicle),298
HarperCollins Español,1/22/02,Paulo Coelho,El Alquimista: Una Fabula Para Seguir Tus Suenos,299
Vintage International; 1st edition,9/12/90,Kazuo Ishiguro,The Remains of the Day,300
Bantam; 54th printing edition,1/1/83,Og Mandino,The Greatest Salesman in the World,301
Gallery Books; Media Tie-In edition,10/24/17,John E. Douglas,Mindhunter: Inside the FBI's Elite Serial Crime Unit,302
Anchor; Reprint edition,5/31/16,Kevin Kwan,China Rich Girlfriend,303
Atria Books,2/13/18,John Lescroart,Poison: A Novel (Dismas Hardy),304
Random House Books for Young Readers; Box edition,9/27/11,Dr. Seuss,Dr. Seuss's Second Beginner Book Collection,305
