_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publisher,ltable_Time,rtable_Title,rtable_Author,rtable_Publisher,rtable_Time
15060,2632,341,"Social Security: The Inside Story, 2018 Silver Anniversary Edition",Andy Landis,CreateSpace Independent Publishing Platform; Anniversary edition,1/10/2018,"Social Security: The Inside Story, 2018 Silver Anniversary Edition",Andy Landis,CreateSpace Independent Publishing Platform; Anniversary edition,1/10/2018
15062,2669,137,EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,Dave Ramsey,Howard Books,9/20/2011,EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,Dave Ramsey,Howard Books,9/20/2011
15063,2674,154,"Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers (Collins Business Essentials)",Geoffrey A. Moore,HarperBusiness; 3 edition,1/28/2014,"Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers",Geoffrey A. Moore,HarperCollins Publishers,1/28/2014
15074,2681,2271,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All",Jim Collins,HarperBusiness; 1 edition,10/11/2011,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All",Jim Collins,HarperCollins Publishers,10/11/2011
15075,2691,135,Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Greenleaf Book Group Press; email download mp3 only edition,3/1/2012,Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Greenleaf Book Group Press,3/1/2012
15086,2702,144,"Co-Active Coaching: Changing Business, Transforming Lives",Henry Kimsey-House,Nicholas Brealey; 3 edition,9/16/2011,"Co-Active Coaching: Changing Business, Transforming Lives / Edition 3",Henry Kimsey-House,Quercus,9/16/2011
15094,2746,104,Good to Great and the Social Sectors: Why Business Thinking is Not the Answer,Jim Collins,HarperCollins; 1 edition,11/24/2005,Good to Great and the Social Sectors: Why Business Thinking Is Not the Answer,Jim Collins,HarperCollins Publishers,11/24/2005
15111,2820,3860,The Truth About Employee Engagement: A Fable About Addressing the Three Root Causes of Job Misery,Patrick M. Lencioni,Jossey-Bass; 1 edition,11/16/2015,The Truth About Employee Engagement: A Fable About Addressing the Three Root Causes of Job Misery,Patrick M. Lencioni,Jossey-Bass; 1 edition,11/16/2015
15114,2855,3820,"She Believed She Could So She Did: Bullet Grid Journal, 150 Dot Grid Pages, 8""x10"", Professionally Designed",Creative Notebooks,CreateSpace Independent Publishing Platform; Jou edition,3/5/2017,"She Believed She Could So She Did: Bullet Grid Journal, 150 Dot Grid Pages, 8""x10"", Professionally Designed",Creative Notebooks,reateSpace Independent Publishing Platform; Jou edition,3/5/2017
15122,2878,3861,The 15 Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Jim Dethmer,"Dethmer, Chapman &amp; Klemp; 1 edition",1/10/2015,The 15 Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Jim Dethmer,"Dethmer, Chapman &amp; Klemp; 1 edition",1/10/2015
15126,2888,14,"HBR's 10 Must Reads on Leadership (with featured article ""What Makes an Effective Executive,"" by Peter F. Drucker)",Harvard Business Review,Harvard Business Review Press; 1 edition,1/3/2011,HBR's 10 Must Reads on Leadership,Harvard Business Review,Harvard Business Review Press,1/3/2011
15133,2928,202,"The Business Blockchain: Promise, Practice, and Application of the Next Internet Technology",William Mougayar,Wiley; 1 edition,5/9/2016,"The Business Blockchain: Promise, Practice, and Application of the Next Internet Technology",William Mougayar,Wiley,5/9/2016
15135,2933,186,The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,Avinash K. Dixit,W. W. Norton &amp; Company; 59521st edition,1/4/2010,The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,Avinash K. Dixit,"Norton, W. W. & Company, Inc.",1/4/2010
15139,2972,179,Humble Inquiry: The Gentle Art of Asking Instead of Telling,Edgar H. Schein,Berrett-Koehler Publishers; 1 edition,9/2/2013,Humble Inquiry: The Gentle Art of Asking Instead of Telling,Edgar H. Schein,Berrett-Koehler Publishers,9/2/2013
15145,2985,238,The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,Chet Holmes,Portfolio; Reprint edition,5/27/2008,The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,Chet Holmes,Penguin Publishing Group,5/27/2008
